Row,Load_F1,Load_F2,Load_F3,RT_F1,RT_F2,RT_F3,Util_F1,Util_F2,Util_F3,Cold_F1,Cold_F2,Cold_F3
row_sim_5046,37.5504896068398,33.82682653874291,42.949541208128124,0.6810756153294167,0.6253607039928887,0.42309325436633116,0.13852182630092044,0.16147958323498668,0.24221129695933308,0.24924292297564188,0.22193460490463215,0.08813682019726722
row_sim_5047,37.585292463088834,5.463499793910316,22.037738662896043,0.5485928592428405,0.9906545011689187,0.4753596217808642,0.31770905802142757,0.16672553867891204,0.3853232587540058,0.156533256073838,0.5713110257816786,0.13461066077130926
row_sim_5048,32.81827648428238,19.54558568259572,45.63183654417269,0.6837897196250904,0.7077585231650447,0.440498936832427,0.158454797460431,0.18026565464895636,0.2552824864841579,0.25693348365276214,0.3012831194800866,0.08887219072341007
row_sim_5049,19.107968017546764,49.72961624946722,8.846686572839952,0.8019340180054185,0.5594301538979061,0.4173538970907527,0.18369271132245635,0.23850390874904426,0.4095998611231664,0.382887189292543,0.15417661097852028,0.11618845200141693
row_sim_5050,46.1750842709032,11.048753175072076,31.70451606070914,0.5810729837365616,0.8416842837849187,0.4458467038373607,0.21152736643717066,0.16597510373443983,0.30327891804104945,0.17190506735086594,0.43035801863658657,0.10708051908628671
row_sim_5051,19.265436159187164,38.25819943682352,12.803787570003763,0.7932476333534682,0.5885005067305338,0.4688961928489765,0.18691487045504027,0.2444113263785395,0.36223954015365056,0.3593494271685761,0.17813261444346518,0.14433361374834755
row_sim_5052,47.73481351444596,34.43635278866809,57.43852558785582,0.6264875752649378,0.6115588966127549,0.41480165867720237,0.12974321349963316,0.14699196232848907,0.20817087641973217,0.2131578947368421,0.2233651726671565,0.07469926270857587
row_sim_5053,42.7206312185019,36.4633625932199,49.75806349225816,0.6515496929514293,0.6098207266949233,0.4182394499106597,0.13305707631348115,0.15065045549608308,0.21995868835528015,0.22997306110874804,0.21285580231467,0.08247323237194945
row_sim_5054,13.219969937318512,37.98291052882421,23.454710783211357,0.9059660801974427,0.5661797279941343,0.4691535188664048,0.15208591026650176,0.2516607051609607,0.3243760771047425,0.4581679894179894,0.16444221999777556,0.12619473152537106
row_sim_5055,44.64026919982898,1.5169410990013883,25.6913401867885,0.4509699336068158,1.2471629178350883,0.4461369717300687,0.40320611667951683,0.07944150216658642,0.4369059968039474,0.09841644672871232,0.8159255429162358,0.1199231613611416
row_sim_5056,39.119529014883504,27.66532821970751,14.316397163039369,0.6473889863683419,0.6645594430695805,0.4619247823879922,0.19001995178319062,0.20312454287469647,0.32928551256707145,0.2216103171836877,0.2545305527729715,0.13459204315576534
row_sim_5057,27.88773763818218,50.99218430309709,12.449999087023023,0.73322871677179,0.5801699016147328,0.4231947271561661,0.16497052333432138,0.1955658859288396,0.3385367276971333,0.31148292459316984,0.17065217391304346,0.11541193181818182
row_sim_5058,22.061971209597115,59.42061451393265,54.773389274982435,0.8110001959890689,0.5203608282392382,0.4071596083943198,0.11073348575665821,0.16519072790096337,0.22630739319008925,0.381294964028777,0.13734084742225006,0.07140179910044978
row_sim_5059,2.0864021104930073,31.843401457740764,3.9715109595306175,1.1468070240365982,0.3661229556279162,0.48055676670164443,0.1651242968608238,0.760359781561195,0.6997126436781609,0.79665124476757,0.07098961338718984,0.2144691780821918
row_sim_5060,55.438100173279764,26.5206175154676,25.1352983854837,0.5933006880977617,0.6581276681643183,0.43276190146995874,0.16510253736531108,0.17342260093325218,0.2799202409740783,0.1746791038826437,0.2642633695814092,0.1101212571145756
row_sim_5061,16.413114608766676,34.150697874509625,8.742673443453898,0.8218281886865046,0.6016869294325535,0.45157193402808954,0.2108939558450959,0.27807996119733924,0.43307839388145314,0.3903036667541787,0.18819865176209574,0.13716757857233744
row_sim_5062,47.94735228210605,29.49806017355269,34.00945033428392,0.6290786943731907,0.6484130743903251,0.4318727929032761,0.14915420790341827,0.1643598615916955,0.2522413849313729,0.20600040136463976,0.24981555260439722,0.0972338642078793
row_sim_5063,50.4562446218885,11.149668994402694,10.552225246859837,0.5250588266768178,0.8339515682116109,0.45328759739596014,0.2935027523459114,0.2113740959894806,0.40681663258350376,0.13151676829268294,0.43637234552131565,0.14346454532985872
row_sim_5064,25.27706028854728,47.1783880596163,3.55980593353276,0.9070807061159161,0.6909181001290748,0.2822887295602418,0.12232443482443482,0.1622387530995395,0.6049222797927462,0.4427956989247312,0.23859343214181924,0.03406408094435076
row_sim_5065,47.7204537237298,30.070357785829,33.727718824396064,0.6325012655266059,0.6441219074681452,0.43439838861168967,0.14675403132115805,0.16285129350455985,0.25877936144057945,0.20821114369501467,0.24387020995448538,0.10107325205793477
