Row,Load_F1,RT_F1,Util_F1,Cold_F1
row_sim_126,2569.850021562922,0.24189748765594202,0.0,0.00020016012810248197
row_sim_127,2275.5706635291385,0.24198576620580442,0.0,0.000177367860943597
row_sim_128,2158.402894705013,0.242126708353621,0.0,0.00016846361185983828
row_sim_129,1296.3075146733222,0.24174725614666037,0.0,0.0001010611419909045
row_sim_130,1881.9451566652942,0.24211690712897138,0.0,0.00014697236919459142
row_sim_131,1752.314701839761,0.2422903105631823,0.0,0.00013676148796498905
row_sim_132,1949.557312334382,0.24209874349281463,0.0,0.00015216068167985393
row_sim_133,253.37874120361028,0.2375844279086923,0.0,1.979766783472907e-05
row_sim_134,1247.4514161417203,0.24194839612338942,0.0,9.728572818367545e-05
row_sim_135,124.89044087698433,0.10327645844536801,0.03837,1.0079121100640024e-05
row_sim_136,1481.9977581925943,0.24200462074755164,0.0,0.00011554015020219527
row_sim_137,989.6171439377392,0.24158412690387768,0.0,7.72021925422682e-05
row_sim_138,433.6153403886974,0.24010689629167753,0.0,3.382606636674221e-05
row_sim_139,310.2537330192688,0.2387875696810371,0.0,2.4127198590971604e-05
row_sim_140,1762.954334304527,0.24186130267018713,0.0,0.0001372872048325096
row_sim_141,511.8203759622314,0.24072461151895883,0.0,4.00368338871762e-05
row_sim_142,2775.364099124473,0.24163639085911737,0.0,0.00021537798836958864
row_sim_143,1743.2043660441998,0.2418197678810116,0.0,0.00013599891200870393
row_sim_144,1040.6420701142843,0.24142046647149357,0.0,8.101758081503687e-05
row_sim_145,1772.766928669676,0.24231050019503003,0.0,0.00013844662882458813
row_sim_146,68.460472895541,0.012441166498492919,0.57534,1e-05
row_sim_147,2875.679711763674,0.24200178431286495,0.0,0.00022401433691756272
row_sim_148,1446.9361956568534,0.241657439343509,0.0,0.00011270145384875464
row_sim_149,2348.216544989496,0.24194768396692343,0.0,0.00018304960644334616
row_sim_150,248.2358632673196,0.23727937482608494,0.0,1.9381723035177828e-05
